group1,group2,group3,group4,group5,group6,group7,group8,group9,group10,result
0,0,0,1,1,0,1,1,0,1,1
0,0,0,1,1,0,1,0,0,1,1
0,1,0,1,1,0,1,1,0,1,1
0,0,0,1,1,0,1,1,0,1,0
0,0,0,1,1,0,1,1,0,1,0
0,1,0,1,1,0,1,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0
0,1,0,1,1,0,1,0,0,1,1
0,0,0,1,1,0,1,0,0,1,1
0,1,0,1,1,0,1,0,0,1,1
0,1,0,1,1,0,1,0,0,1,1
0,1,0,1,1,0,1,0,0,1,0
0,0,0,0,0,0,0,0,0,0,1
0,1,0,1,1,0,0,1,0,0,1
0,0,0,1,1,0,1,1,0,1,1
0,1,0,0,1,0,0,1,0,0,0
0,0,0,1,1,0,1,1,0,1,1
0,0,0,1,1,0,0,1,0,1,1
0,0,0,1,1,0,1,1,0,1,1
0,0,0,1,1,0,1,1,0,1,1
0,0,0,1,1,0,1,1,0,1,1
0,0,0,1,1,0,0,1,0,1,0
0,0,0,1,1,0,0,1,0,1,0
0,0,0,0,0,0,0,1,0,0,1
0,0,0,0,0,0,0,1,0,0,1
0,1,0,0,1,0,0,1,0,0,1
0,1,0,0,1,0,0,1,0,0,0
0,0,0,0,1,1,0,1,0,1,0
0,0,0,1,1,0,1,1,0,1,0
0,0,0,0,1,0,0,1,0,0,0
0,0,0,0,1,0,0,1,0,0,1
0,0,0,1,1,0,1,1,0,1,0
0,0,0,1,1,0,1,1,0,1,1
0,0,0,0,1,0,0,1,0,0,1
0,1,0,0,1,0,0,1,0,0,1
0,0,0,0,1,0,0,1,0,0,1
0,0,0,0,1,0,0,1,0,0,1
0,1,0,0,1,0,0,1,0,0,0
0,0,0,0,1,0,0,1,0,0,0
0,1,0,0,1,0,0,1,0,1,0
0,1,0,0,1,0,0,1,0,0,1
0,1,0,0,1,0,0,1,0,0,0
0,0,0,0,1,0,0,1,0,1,0
0,0,0,0,1,0,0,1,0,0,0
0,0,0,1,1,0,1,1,0,1,0
0,0,0,0,1,0,0,1,0,0,0
0,0,0,1,1,0,0,1,0,1,1
0,0,0,0,1,0,0,1,0,1,1
0,0,0,0,0,0,0,1,0,0,1
0,0,0,0,0,0,0,1,0,0,1
0,0,0,1,1,0,1,1,0,1,1
0,0,0,0,0,0,0,1,0,0,1
0,0,0,0,1,0,0,1,0,0,1
